ltable_id,rtable_id
65,1172
65,11129
65,21591
192,11131
193,19880
356,21591
396,7144
542,13159
663,7135
1939,20177
2093,16311
3,4378
191,1243
191,5169
191,11197
1282,1240
1997,12450
1997,12451
463,11440
502,11435
652,6708
687,20212
765,15415
810,1480
906,3469
975,13422
1011,13413
1119,3471
1573,5415
1589,2645
1837,13677
1953,11438
2039,7443
2163,8469
9,2456
527,485
850,8443
2501,4362
6,9015
19,13057
512,9060
719,6972
870,14930
908,13023
945,3103
1038,19035
1074,20740
1142,14277
1194,14916
1237,6974
1522,1025
1624,5013
1626,13619
1932,9095
2133,10434
2344,6970
2405,1033
2405,8668
7,1303
944,2262
944,14176
944,14177
1583,15144
1666,6194
1978,15144
2217,19467
2243,481
2274,356
2274,15144
2349,2262
2349,14176
2538,2279
623,14735
770,11223
1159,13109
1242,2465
1984,1120
2063,6308
15,4282
272,3965
395,99
1885,2010
1931,11214
81,17194
1345,20145
1528,16916
1850,6903
470,10874
584,965
916,8910
1102,7853
2103,2963
2259,14834
302,16641
26,537
1219,14406
64,8391
184,2959
960,13888
1070,18620
1229,5842
1229,10854
1365,18372
1860,5560
1882,5842
1882,10854
2052,6286
2094,15247
2191,16173
29,6031
57,13302
312,13299
1183,11288
1224,8070
2255,14015
53,17892
91,17687
166,805
166,4728
166,6740
166,12781
166,19283
166,20121
466,16317
466,16910
561,6743
561,8791
561,18152
576,18153
625,18443
700,806
814,16316
822,18443
852,805
852,8786
852,12781
852,14680
852,19011
852,21693
852,21811
856,16320
856,17184
932,16316
1060,6743
1132,6743
1132,8791
1132,18152
1177,20811
1178,18153
1257,14687
1605,286
1839,9064
1959,806
1959,19283
2020,806
2020,18153
2220,806
2389,18153
2430,805
2430,4728
2430,8786
2430,12781
2430,19011
2430,19283
2430,21693
2471,805
2471,4728
2471,6740
2471,8786
2471,12781
2471,19011
2471,19283
2471,21693
2472,18152
2472,20125
720,13398
720,19371
1104,1397
970,6930
1360,994
1987,10905
2520,15683
39,10872
266,2949
1198,14823
41,6816
1112,10800
1320,884
1353,6819
1487,3573
1516,888
1937,8500
138,11468
749,15430
1031,13438
1149,9481
1359,1903
1458,16055
1671,20794
1862,15434
2031,9533
2353,13476
2381,3482
2459,7486
294,19911
317,1082
539,11542
1022,12116
1999,20189
2265,18698
2369,20052
2503,20051
49,8096
107,12090
182,7399
221,16624
548,3414
905,19636
1195,5364
1930,15375
2334,10108
2440,6643
2485,8095
205,10517
693,104
693,20663
1508,12614
1508,19514
1635,20243
2026,18648
2342,8614
2365,8618
589,15495
86,7610
86,11617
893,11620
1380,20890
2481,6885
130,9890
600,12881
1197,4814
1324,912
1504,4817
1614,11350
637,15920
1432,6230
66,3668
1652,14384
1868,4494
1895,7660
219,729
219,8696
299,4644
531,19817
572,4642
572,4643
986,6669
1108,10672
1903,10674
2211,4646
102,11759
1071,16126
1899,5458
2059,5734
2260,13722
2340,3758
1623,6592
2117,14557
654,14489
2392,15893
80,6526
330,1599
330,13536
360,11566
803,4121
903,16989
1513,1592
1577,13540
1619,9585
1728,12125
1742,15527
1833,5542
1833,9342
2125,16072
2245,3566
936,14004
1797,6004
93,8350
126,1555
329,7314
465,7304
465,15278
547,9295
872,15268
1200,19354
1210,1324
1441,15284
1909,11284
1946,1315
2237,1696
2273,5255
2527,13282
1005,11657
1186,16092
2326,1681
2488,1684
2488,5635
104,11791
303,19299
828,10887
1391,2976
108,21709
149,19030
217,5274
481,986
1509,9332
1843,9691
2100,20731
114,9223
920,3246
1208,3254
1208,16935
1208,18170
1473,3248
1473,3250
1813,1607
1813,3253
2013,9226
2328,16352
491,19957
567,12173
1562,12169
1845,185
2004,1747
2072,4159
2409,5687
2409,11714
2462,8175
2462,14117
603,21731
1218,5267
1218,5268
1297,1343
1297,5270
1297,13309
1578,3323
1936,11295
2522,3324
690,12896
705,12895
935,14800
2477,4884
346,8304
416,19475
480,376
1066,8297
1474,3961
1841,2326
2147,2887
2164,3694
1044,3009
2476,6955
128,2701
128,10640
258,10646
399,712
399,4610
399,10643
399,22063
838,715
1024,12674
1095,2702
2339,2236
131,5595
591,5594
939,3615
1653,1649
2186,13583
2510,11625
2548,19117
1854,10030
133,18758
692,18704
1883,19123
225,12627
1510,19042
1891,15304
1966,656
2006,13921
2083,14539
1908,20111
148,18936
261,3238
261,5192
362,3235
218,5037
218,5046
375,5041
1010,15003
1138,9085
1185,11039
159,9709
2387,20821
168,20286
1175,19245
1403,21315
1832,432
457,8018
667,7079
950,15942
1563,430
2016,12006
176,4854
672,2944
710,2945
1927,19026
1973,3155
186,1928
864,11894
1758,13845
2194,5101
2345,15061
199,5511
2124,11564
2329,14073
202,2447
798,6373
1468,2293
1560,19669
1952,1769
1975,8180
215,6601
1129,8643
1129,10606
1761,4576
1761,12646
1761,12647
1761,21432
2519,2668
351,10048
734,5991
2028,12891
222,1354
239,10617
284,14575
1256,20411
2089,7048
723,9675
259,10734
353,8763
742,4711
742,8235
941,2805
941,15836
1413,2788
1451,4719
1656,14169
1888,6729
1591,3205
1660,11172
2078,3894
636,9151
281,7824
281,20258
286,18626
297,15653
2087,11143
307,10209
309,19291
1298,8455
1124,15647
1537,12414
714,16478
1301,6494
319,21483
376,9389
386,4058
2029,14035
334,10661
469,2720
323,1244
694,20006
1370,5172
2540,5175
324,8519
324,19773
599,556
722,3097
722,12995
1073,2522
1907,10481
1907,12500
1907,14428
2037,21543
2047,8524
328,14369
1805,15541
1972,15541
378,21690
1230,4667
1751,20117
632,13149
1893,11120
429,3273
